CAS,Formula,DHf(kJ/mol),DHf(kcal/mol),IsomericSMILES,Source
513-35-9,C5H10,-41.4,-9.9,CC=C(C)C,Ghahremanpour2016
7145-20-2,C8H16,-108.5,-25.9,CCCC(=C(C)C)C,Ghahremanpour2016
24608-85-3,C8H16,-100.1,-23.9,CCC(C)C/C=C/C,Ghahremanpour2016
3043-33-2,C6H10,103.0,24.6,CC=C=C(C)C,Ghahremanpour2016
563-46-2,C5H10,-35.1,-8.4,CCC(=C)C,Ghahremanpour2016
7154-75-8,C6H10,113.5,27.1,CC(C)CC#C,Ghahremanpour2016
19550-81-3,C8H16,-109.7,-26.2,CCC(C)/C(=C\C)/C,Ghahremanpour2016
78-79-5,C5H8,75.6,18.1,CC(=C)C=C,Ghahremanpour2016
61064-08-2,C7H12,86.1,20.6,CC(C)C(C)C#C,Ghahremanpour2016
16746-85-3,C8H16,-86.9,-20.8,CCC(CC)CC=C,Ghahremanpour2016
108-08-7,C7H16,-201.7,-48.2,CC(C)CC(C)C,Ghahremanpour2016
560-23-6,C8H16,-100.8,-24.1,CCC(C)(C)C(=C)C,Ghahremanpour2016
96-14-0,C6H14,-172.0,-41.1,CCC(C)CC,Ghahremanpour2016
22768-20-3,C8H16,-105.3,-25.2,CCCC/C(=C/C)/C,Ghahremanpour2016
7116-86-1,C8H16,-100.8,-24.1,CC(C)(C)CCC=C,Ghahremanpour2016
15918-08-8,C8H16,-92.8,-22.2,CCCC(=C)CCC,Ghahremanpour2016
74286-93-4,C13H28,-313.2,-74.8,CCCC(C)(C)CC(C)(C)CCC,Pedley1986
109-66-0,C5H12,-146.8,-35.1,CCCCC,Ghahremanpour2016
107-40-4,C8H16,-105.7,-25.3,CC(=CC(C)(C)C)C,Ghahremanpour2016
106-99-0,C4H6,109.8,26.2,C=CC=C,Ghahremanpour2016
592-42-7,C6H10,84.1,20.1,C=CCCC=C,Ghahremanpour2016
7319-00-8,C6H10,73.9,17.7,C/C=C/CC=C,Ghahremanpour2016
3683-22-5,C7H14,-80.5,-19.2,CCC(C)/C=C/C,Ghahremanpour2016
7642-09-3,C6H12,-47.5,-11.4,CC/C=C\CC,Ghahremanpour2016
66225-19-2,C8H16,-89.5,-21.4,CC/C=C\CC(C)C,Ghahremanpour2016
21020-27-9,C6H10,97.5,23.3,CC#CC(C)C,Ghahremanpour2016
2873-50-9,C4H2,320.9,76.7,C(=C=C)=C,Goldsmith2012
592-49-4,C6H10,112.8,27.0,CCC=C=CC,Ghahremanpour2016
36566-80-0,C7H12,75.0,17.9,CCC#CC(C)C,Ghahremanpour2016
115-11-7,C4H8,-17.0,-4.1,CC(=C)C,Ghahremanpour2016
629-62-9,C15H32,-353.1,-84.4,CCCCCCCCCCCCCCC,Ghahremanpour2016
544-76-3,C16H34,-374.4,-89.5,CCCCCCCCCCCCCCCC,Ghahremanpour2016
928-49-4,C6H10,103.0,24.6,CCC#CCC,Ghahremanpour2016
53566-37-3,C7H12,74.0,17.7,CC#CCC(C)C,Ghahremanpour2016
592-13-2,C8H18,-222.5,-53.2,CC(C)CCC(C)C,Ghahremanpour2016
3404-71-5,C7H14,-75.6,-18.1,CCCC(=C)CC,Ghahremanpour2016
115-07-1,C3H6,20.0,4.8,CC=C,Ghahremanpour2016
627-19-0,C5H8,144.4,34.5,CCCC#C,Ghahremanpour2016
13714-85-7,C8H16,-103.0,-24.6,CCC/C(=C/CC)/C,Ghahremanpour2016
5194-50-3,C6H10,47.4,11.3,C/C=C/C=C\C,Ghahremanpour2016
15232-76-5,C8H14,63.9,15.3,CCCCC#CCC,Ghahremanpour2016
2787-45-3,C6H10,70.1,16.8,C/C=C(/C)\C=C,Ghahremanpour2016
540-84-1,C8H18,-224.0,-53.5,CC(C)CC(C)(C)C,Ghahremanpour2016
2787-43-1,C6H10,65.7,15.7,C/C=C(\C)/C=C,Ghahremanpour2016
37050-06-9,C9H16,49.4,11.8,CCC#CCCC(C)C,Ghahremanpour2016
20710-38-7,C7H14,-84.5,-20.2,CCC/C(=C/C)/C,Ghahremanpour2016
565-76-4,C8H16,-105.7,-25.3,CC(C)C(C)C(=C)C,Ghahremanpour2016
6975-98-0,C11H24,-275.6,-65.9,CCCCCCCCC(C)C,Ghahremanpour2016
692-70-6,C8H16,-111.9,-26.7,CC(C)/C=C/C(C)C,Ghahremanpour2016
564-03-4,C8H16,-101.5,-24.3,CC(C=C)C(C)(C)C,Ghahremanpour2016
563-78-0,C6H12,-62.9,-15.0,CC(C)C(=C)C,Ghahremanpour2016
78-78-4,C5H12,-153.7,-36.7,CCC(C)C,Ghahremanpour2016
562-49-2,C7H16,-201.7,-48.2,CCC(C)(C)CC,Ghahremanpour2016
2586-89-2,C7H12,83.0,19.8,CCCC#CCC,Ghahremanpour2016
3161-99-7,C6H2,670.0,160.1,C#CC#CC#C,Ghahremanpour2016
4038-04-4,C7H14,-65.9,-15.7,CCC(CC)C=C,Ghahremanpour2016
3404-73-7,C7H14,-73.2,-17.5,CCC(C)(C)C=C,Ghahremanpour2016
74-82-8,CH4,-74.6,-17.8,C,Ghahremanpour2016
1186-53-4,C9H20,-236.9,-56.6,C(C(C)(C)C)(C(C)C)C,Pedley1986
111-84-2,C9H20,-228.7,-54.6,CCCCCCCCC,Ghahremanpour2016
926-56-7,C6H10,65.7,15.7,CC(=CC=C)C,Ghahremanpour2016
107-39-1,C8H16,-108.2,-25.9,CC(=C)CC(C)(C)C,Ghahremanpour2016
7318-67-4,C6H10,75.5,18.0,C/C=C\CC=C,Ghahremanpour2016
3404-67-9,C8H16,-98.8,-23.6,CCC(C)C(=C)CC,Ghahremanpour2016
13643-05-5,C6H10,65.2,15.6,CC(C)C=C=C,Ghahremanpour2016
584-94-1,C8H18,-213.8,-51.1,CCCC(C)C(C)C,Ghahremanpour2016
762-62-9,C7H14,-81.0,-19.4,CC(C)(C)CC=C,Ghahremanpour2016
871-28-3,C5H6,269.0,64.3,C=CCC#C,Ghahremanpour2016
78-80-8,C5H6,260.0,62.1,CC(=C)C#C,Ghahremanpour2016
16745-94-1,C8H16,-93.0,-22.2,CCC(C)C(C)C=C,Ghahremanpour2016
1574-40-9,C5H6,259.3,62.0,C/C=C\C#C,Ghahremanpour2016
627-20-3,C5H10,-26.7,-6.4,CC/C=C\C,Ghahremanpour2016
592-27-8,C8H18,-215.4,-51.5,CCCCCC(C)C,Ghahremanpour2016
13389-42-9,C8H16,-96.8,-23.1,CCCCC/C=C/C,Ghahremanpour2016
5026-76-6,C8H16,-91.3,-21.8,CC(C)CCCC=C,Ghahremanpour2016
3452-09-3,C9H16,62.0,14.8,CCCCCCCC#C,Ghahremanpour2016
7642-04-8,C8H16,-89.5,-21.4,CCCCC/C=C\C,Ghahremanpour2016
106-98-9,C4H8,-0.3,-0.1,CCC=C,Ghahremanpour2016
691-37-2,C6H12,-51.3,-12.3,CC(C)CC=C,Ghahremanpour2016
591-93-5,C5H8,105.9,25.3,C=CCC=C,Ghahremanpour2016
36880-72-5,C8H16,-104.0,-24.9,CCC/C(=C\C)/CC,Ghahremanpour2016
19550-88-0,C8H16,-107.2,-25.6,CC/C(=C(\C)/CC)/C,Ghahremanpour2016
594-82-1,C8H18,-225.8,-54.0,CC(C)(C)C(C)(C)C,Ghahremanpour2016
3404-80-6,C8H16,-103.4,-24.7,CCC(=C)CC(C)C,Ghahremanpour2016
563-45-1,C5H10,-27.6,-6.6,CC(C)C=C,Ghahremanpour2016
1647-08-1,C8H16,-97.2,-23.2,CCC(C)(C)CC=C,Ghahremanpour2016
503-17-3,C4H6,145.7,34.8,CC#CC,Ghahremanpour2016
6443-92-1,C7H14,-69.3,-16.6,CCCC/C=C\C,Ghahremanpour2016
692-24-0,C7H14,-82.4,-19.7,CC/C=C/C(C)C,Ghahremanpour2016
6108-61-8,C6H10,47.4,11.3,C/C=C\C=C/C,Ghahremanpour2016
7688-21-3,C6H12,-50.4,-12.0,CCC/C=C\C,Ghahremanpour2016
2213-32-3,C7H14,-82.3,-19.7,CC(C)CC(=C)C,Ghahremanpour2016
39761-64-3,C8H16,-93.7,-22.4,C/C=C(/C)\C(C)(C)C,Ghahremanpour2016
693-02-7,C6H10,123.7,29.6,CCCCC#C,Ghahremanpour2016
589-34-4,C7H16,-191.3,-45.7,CCCC(C)CC,Ghahremanpour2016
3769-23-1,C7H14,-67.5,-16.1,CCC(C)CC=C,Ghahremanpour2016
14919-01-8,C8H16,-94.5,-22.6,CCCC/C=C/CC,Ghahremanpour2016
52713-81-2,C7H12,93.9,22.4,CCC(C)CC#C,Ghahremanpour2016
3404-72-6,C7H14,-82.3,-19.7,CCC(C)C(=C)C,Ghahremanpour2016
124-18-5,C10H22,-249.5,-59.6,CCCCCCCCCC,Ghahremanpour2016
1070-87-7,C9H20,-241.6,-57.7,CC(C)(C)CC(C)(C)C,Pedley1986
13151-04-7,C8H16,-87.2,-20.8,CCC(C)CCC=C,Ghahremanpour2016
926-54-5,C6H10,43.29,10.3,C/C=C/C(=C)C,Ghahremanpour2016
19780-67-7,C8H16,-105.5,-25.2,CCC(=C(C)C)CC,Ghahremanpour2016
10574-36-4,C7H14,-84.3,-20.1,CCC/C(=C\C)/C,Ghahremanpour2016
589-43-5,C8H18,-219.2,-52.4,CCC(C)CC(C)C,Ghahremanpour2016
66225-31-8,C8H16,-111.3,-26.6,C/C=C(/C)\CC(C)C,Ghahremanpour2016
1067-20-5,C9H20,-232.3,-55.5,C(CC)(CC)(CC)CC,Pedley1986
1501-60-6,C6H10,65.7,15.7,C/C=C(/C)\C=C,Ghahremanpour2016
691-38-3,C6H12,-56.8,-13.6,C/C=C\C(C)C,Ghahremanpour2016
617-78-7,C7H16,-189.5,-45.3,CCC(CC)CC,Ghahremanpour2016
513-81-5,C6H10,45.1,10.8,CC(=C)C(=C)C,Ghahremanpour2016
111-66-0,C8H16,-82.3,-19.7,CCCCCCC=C,Ghahremanpour2016
674-76-0,C6H12,-59.8,-14.3,C/C=C/C(C)C,Ghahremanpour2016
59643-75-3,C8H16,-111.4,-26.6,CC/C=C(/C)\C(C)C,Ghahremanpour2016
592-44-9,C6H10,121.7,29.1,CCCC=C=C,Ghahremanpour2016
560-22-5,C6H10,73.9,17.7,CC(C)C(C)(C)C=C,Ghahremanpour2016
464-06-2,C7H16,-204.5,-48.9,CC(C)C(C)(C)C,Ghahremanpour2016
598-23-2,C5H8,136.4,32.6,CC(C)C#C,Ghahremanpour2016
39761-61-0,C8H16,-108.4,-25.9,C/C=C\CC(C)(C)C,Ghahremanpour2016
563-79-1,C6H12,-68.9,-16.5,CC(=C(C)C)C,Ghahremanpour2016
764-35-2,C6H10,105.1,25.1,CCCC#CC,Ghahremanpour2016
592-76-7,C7H14,-62.7,-15.0,CCCCCC=C,Ghahremanpour2016
142-82-5,C7H16,-187.7,-44.9,CCCCCCC,Ghahremanpour2016
598-25-4,C5H8,129.1,30.8,CC(=C=C)C,Ghahremanpour2016
66225-15-8,C8H16,-104.0,-24.9,CCCC(=CC)CC,Ghahremanpour2016
590-73-8,C8H18,-224.6,-53.7,CCCCC(C)(C)C,Ghahremanpour2016
565-77-5,C8H16,-109.1,-26.1,CC(C)C(=C(C)C)C,Ghahremanpour2016
66225-14-7,C8H16,-103.7,-24.8,C/C=C/C(C)C(C)C,Ghahremanpour2016
74-98-6,C3H8,-104.4,-24.9,CCC,Ghahremanpour2016
66225-30-7,C8H16,-111.4,-26.6,CC/C=C(\C)/C(C)C,Ghahremanpour2016
564-02-3,C8H18,-220.0,-52.6,CCC(C)C(C)(C)C,Ghahremanpour2016
1069-53-0,C9H20,-242.6,-58.0,C(CC(C)C)(C(C)C)C,CRC2009
627-21-4,C5H8,120.7,28.8,CCC#CC,Ghahremanpour2016
14686-13-6,C7H14,-75.5,-18.0,CCCC/C=C/C,Ghahremanpour2016
66225-18-1,C8H16,-96.5,-23.1,C/C=C\CCC(C)C,Ghahremanpour2016
10574-37-5,C7H14,-87.7,-21.0,CCC(=C(C)C)C,Ghahremanpour2016
6196-60-7,C6H10,73.9,17.7,CCC(C)(CC)C=C,Ghahremanpour2016
10557-44-5,C8H16,-103.9,-24.8,CC(C)/C=C\C(C)C,Ghahremanpour2016
560-22-5,C8H16,-93.7,-22.4,CC(C)C(C)(C)C=C,Ghahremanpour2016
111823-35-9,C8H16,-103.4,-24.7,CC(C)C(=C)C(C)C,Ghahremanpour2016
15869-85-9,C10H22,-258.6,-61.8,C(CCCC)(CCCC)C,Pedley1986
4914-89-0,C7H14,-80.5,-19.2,CC/C=C(/C)\CC,Ghahremanpour2016
7642-10-6,C7H14,-69.0,-16.5,CCC/C=C\CC,Ghahremanpour2016
14850-22-7,C8H16,-89.5,-21.4,CCCC/C=C\CC,Ghahremanpour2016
7642-15-1,C8H16,-89.5,-21.4,CCC/C=C\CCC,Ghahremanpour2016
109-67-1,C5H10,-21.3,-5.1,CCCC=C,Ghahremanpour2016
112-41-4,C12H24,-165.4,-39.5,CCCCCCCCCCC=C,CRC2009
19550-83-5,C8H16,-96.2,-23.0,CCC(C)(C)/C=C/C,Ghahremanpour2016
460-12-8,C4H2,450.0,107.5,C#CC#C,Ghahremanpour2016
66225-17-0,C8H16,-101.5,-24.3,CCCC(C)/C=C/C,Ghahremanpour2016
922-59-8,C6H10,116.9,27.9,CCC(C)C#C,Ghahremanpour2016
22768-18-9,C8H16,-103.0,-24.6,CCC/C=C(\C)/CC,Ghahremanpour2016
3725-31-3,C8H10,234.0,55.9,C=C/C=C/C=C/C=C,Ghahremanpour2016
7385-78-6,C7H14,-74.8,-17.9,CC(C)C(C)C=C,Ghahremanpour2016
60302-23-0,C11H24,-281.0,-67.1,CC(C)C(C)(C)CC(C)(C)C,Pedley1986
2203-80-7,C7H12,94.0,22.5,CC(C)CCC#C,Ghahremanpour2016
760-20-3,C6H12,-49.3,-11.8,CCC(C)C=C,Ghahremanpour2016
762-63-0,C7H14,-73.3,-17.5,C/C=C\C(C)(C)C,Ghahremanpour2016
627-97-4,C8H16,-106.6,-25.5,CCCCC=C(C)C,Ghahremanpour2016
14255-24-4,C8H16,-105.3,-25.2,CCC/C(=C\CC)/C,Ghahremanpour2016
592-41-6,C6H12,-42.4,-10.1,CCCCC=C,Ghahremanpour2016
42067-48-1,C8H16,-101.2,-24.2,CC/C(=C/C)/C(C)C,Ghahremanpour2016
